orbital_period,transit_duration,planet_radius,star_temp,star_radius,label
3.75574267,2.2911,1.58,5311.0,0.788,1
7.45301717,3.685,37.37,4475.0,16.755,-1
7.44042933,2.991,2.74,5815.0,0.877,-1
6.581477136,3.0896,4.56,5188.0,0.973,1
24.669192732,7.03515,77.76,5313.0,9.327,1
2.382652873,1.8888,2.74,5188.0,0.973,1
24.66461416,2.8579,5.34,5188.0,0.973,1
11.51517167,2.006,2.9,5177.0,0.798,1
7.641567589,3.41018,4.91,5356.0,1.055,1
30.6113932,3.576,19.68,3900.0,0.534,-1
7.40742502,3.675,2.01,5922.0,0.961,1
569.934135,4.1904,38.98,5367.0,2.057,-1
5.09246539,3.659,1.17,5037.0,0.751,-1
1.103971357,0.926,1.37,5409.0,0.746,-1
10.916108342,3.6496,3.93,5575.0,0.932,1
3.353732008,1.4598,1.65,3789.0,0.46,1
6.877446033,1.3692,2.05,3789.0,0.46,1
28.46464804,2.6657,1.87,3789.0,0.46,1
0.293630085,2.3857,26.35,5665.0,0.843,-1
42.89645024,5.6897,2.0,5192.0,0.873,1
2.44199803,2.759,1.44,5970.0,0.796,-1
30.5872153,5.3698,2.32,5944.0,1.082,0
7.09712124,2.1059,0.74,3569.0,0.389,1
2.6827683,2.957,1.19,6180.0,1.223,-1
3.601465336,2.2753,2.31,5052.0,0.855,1
3.108251172,2.5048,4.43,5330.0,0.847,0
